step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,7688405358_stopped,7688405358_accumulated_waiting_time,7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,8.325903002214176,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,9.239389923243241,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.014822902922106,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,15.704883636313948,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,11.81709002769134,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,14.29413907212997,0,0.0,1.0,0,0.0
35.0,1,0.0,0.0,14.057827668335259,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,13.249322701656993,0,0.0,1.0,0,0.0
45.0,1,2.0,0.0625,12.32073788822329,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,12.345027500605156,0,0.0,0.546108243848267,0,0.0
55.0,3,2.0,0.04878048780487805,11.628155818007587,1,2.0,0.00023061093200491234,1,2.0
60.0,1,7.0,0.16666666666666666,12.90472432928135,1,7.0,0.0,1,7.0
65.0,1,12.0,0.2727272727272727,12.665469583704077,1,12.0,0.0,1,12.0
70.0,1,17.0,0.3617021276595745,14.225630870955548,1,17.0,0.0,1,17.0
75.0,3,24.0,0.46153846153846156,12.314222689494823,1,22.0,0.12202536913715425,1,22.0
80.0,3,31.0,0.5636363636363636,12.788077157648056,2,31.0,0.14527462303789326,2,31.0
85.0,4,42.0,0.7,12.726475703294907,2,41.0,0.21482314468602617,2,41.0
90.0,4,52.0,0.8253968253968254,13.341943030569908,3,52.0,0.0003207431619834956,3,52.0
95.0,3,67.0,1.046875,13.279435064039411,3,67.0,0.04701028235092285,3,67.0
100.0,4,84.0,1.2352941176470589,13.853680358510964,4,84.0,4.968668463557496e-06,4,84.0
105.0,4,104.0,1.4647887323943662,13.34469116899969,4,104.0,0.16176956314160032,4,104.0
110.0,7,132.0,1.8082191780821917,13.111415340507715,5,127.0,5.57590891136019e-06,5,127.0
115.0,8,171.0,2.28,12.44992165592652,5,152.0,0.07771557393741885,5,152.0
120.0,8,193.0,2.4743589743589745,11.017052385509878,5,177.0,0.0,5,177.0
125.0,10,239.0,2.9875,12.812284078568377,5,202.0,0.0,5,202.0
130.0,11,289.0,3.4819277108433737,12.685698133378411,5,227.0,0.0,5,227.0
135.0,12,340.0,4.0476190476190474,12.589780510514501,5,252.0,0.0,5,252.0
140.0,13,400.0,4.545454545454546,11.780726040055661,5,277.0,0.0,5,277.0
145.0,15,470.0,5.108695652173913,10.700516833016144,5,302.0,0.0,5,302.0
150.0,15,542.0,5.705263157894737,11.40526832261773,5,327.0,0.0,5,327.0
155.0,16,617.0,6.295918367346939,11.92973840968879,5,352.0,0.0,5,352.0
160.0,16,694.0,7.229166666666667,11.980119733955888,5,377.0,0.0,5,377.0
165.0,17,778.0,8.104166666666666,12.244989800990638,5,402.0,0.0,5,402.0
170.0,18,863.0,8.806122448979592,11.885694429006422,5,427.0,0.0,5,427.0
175.0,19,954.0,9.835051546391753,11.769297652785928,5,452.0,0.0,5,452.0
180.0,20,1049.0,10.386138613861386,11.714889994241284,5,477.0,0.2191115135344804,5,477.0
185.0,21,1148.0,11.48,12.029804759935377,6,503.0,7.840206285594874e-05,6,503.0
190.0,22,1257.0,12.696969696969697,12.132814755786402,6,533.0,0.0,6,533.0
195.0,22,1367.0,13.808080808080808,11.068324938807498,6,563.0,0.0,6,563.0
200.0,25,1486.0,14.712871287128714,10.067341814820841,6,596.0,0.13463687179241451,6,596.0
205.0,25,1588.0,15.41747572815534,10.00138010949425,6,623.0,0.0,6,623.0
