step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,15.947389434805089,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,17.014679054189305,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.73203081432408,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,12.200689568855374,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,12.581896389240972,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,15.851875172384757,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,15.52603457508332,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,14.259066761384801,0,0.0,0.33172485546412434,0,0.0
45.0,0,0.0,0.0,14.739477958885914,0,0.0,0.21432273922624123,0,0.0
50.0,0,0.0,0.0,16.034352567000923,0,0.0,1.0,0,0.0
55.0,1,0.0,0.0,15.732237595879242,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,14.96147836412398,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,13.860333763123652,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,12.349731637864691,0,0.0,0.48152051853616457,0,0.0
75.0,1,3.0,0.09090909090909091,12.82367691696502,1,3.0,0.0005176036193218188,1,3.0
80.0,2,3.0,0.08823529411764706,12.397631813962958,0,0.0,0.7796940874261048,0,0.0
85.0,2,13.0,0.3611111111111111,12.858196327852676,0,0.0,1.0,0,0.0
90.0,2,11.0,0.2972972972972973,12.192047286930546,0,0.0,1.0,0,0.0
95.0,0,0.0,0.0,11.167888044433067,0,0.0,0.3474248187520141,0,0.0
100.0,2,4.0,0.10810810810810811,11.324449131031809,1,4.0,1.1633433165106606e-05,1,4.0
105.0,0,0.0,0.0,12.85886483481579,0,0.0,0.7243595985199498,0,0.0
110.0,0,0.0,0.0,13.086347380056042,0,0.0,0.4950065793153025,0,0.0
115.0,1,1.0,0.022222222222222223,12.410217163676831,0,0.0,0.3081999422229169,0,0.0
120.0,2,2.0,0.0425531914893617,11.21586718416678,2,11.0,0.18208517269620095,2,11.0
125.0,0,0.0,0.0,11.73404576611244,0,11.0,0.28315374027616086,0,11.0
130.0,1,1.0,0.02127659574468085,11.465764119804193,1,16.0,0.21008521133069846,1,16.0
135.0,2,10.0,0.20408163265306123,11.414547932959278,2,11.0,0.07259173698525914,2,11.0
140.0,6,31.0,0.5961538461538461,11.441415968456178,4,30.0,0.1378086658367165,4,30.0
145.0,3,8.0,0.1509433962264151,11.639784868500332,1,22.0,0.11133604223480968,1,22.0
150.0,2,8.0,0.14814814814814814,12.524990301088529,2,8.0,0.12847804133993337,2,8.0
155.0,3,21.0,0.38181818181818183,11.960914600756599,3,21.0,0.13129095781860656,3,21.0
160.0,3,7.0,0.12962962962962962,11.376927402464673,1,17.0,0.05535001551155292,1,17.0
165.0,2,6.0,0.10909090909090909,10.674599323714599,1,7.0,0.156843579062189,1,7.0
170.0,2,2.0,0.03508771929824561,11.419207832427434,1,7.0,0.04991237520495015,1,7.0
175.0,2,10.0,0.17543859649122806,10.887323390246888,2,12.0,0.051206572179602054,2,12.0
180.0,2,2.0,0.03571428571428571,11.299183429656766,2,10.0,0.1236186261503975,2,10.0
185.0,2,9.0,0.15517241379310345,11.161572176889852,2,16.0,0.09590180902597477,2,16.0
190.0,1,2.0,0.034482758620689655,11.079930073195094,1,24.0,0.06004087910966914,1,24.0
195.0,2,11.0,0.1864406779661017,12.343896325901285,2,19.0,0.1507436485369807,2,19.0
200.0,2,3.0,0.05084745762711865,12.790399934536643,2,20.0,0.03216311158913917,2,20.0
205.0,3,14.0,0.22580645161290322,12.118092080194645,3,21.0,0.055461939756368504,3,21.0
210.0,2,3.0,0.046875,12.633344973024947,2,24.0,0.05525956420706763,2,24.0
215.0,7,26.0,0.40625,11.352115048907962,4,28.0,0.08722071400490383,4,28.0
220.0,2,10.0,0.15873015873015872,10.754315339325972,1,25.0,0.10688238783490796,1,25.0
225.0,5,27.0,0.43548387096774194,10.480858314499773,2,11.0,0.1747341699948836,2,11.0
230.0,1,2.0,0.03125,12.262816710941138,1,8.0,0.2001750512111329,1,8.0
235.0,2,9.0,0.13636363636363635,11.86561733418676,2,12.0,0.18067232987041582,2,12.0
240.0,0,0.0,0.0,12.2470954144015,0,12.0,0.42031334219640387,0,12.0
245.0,2,3.0,0.05,12.56586497806223,1,9.0,0.38104215424812676,1,9.0
250.0,2,4.0,0.06779661016949153,12.515857703840219,2,6.0,0.1382890103447914,2,6.0
255.0,4,19.0,0.3392857142857143,12.662335060500997,3,16.0,0.34021049814585996,3,16.0
260.0,2,5.0,0.08771929824561403,11.453880772545874,1,8.0,0.0764889586529489,1,8.0
265.0,3,19.0,0.3333333333333333,12.31770396127511,2,20.0,0.19643347733178426,2,20.0
270.0,5,23.0,0.3898305084745763,12.567797550443942,4,31.0,0.07516082756136352,4,31.0
275.0,7,53.0,0.8833333333333333,11.66195520004935,5,50.0,0.0023622862664310212,5,50.0
280.0,3,8.0,0.13793103448275862,10.710814287531873,1,45.0,0.08144503419122831,1,45.0
285.0,0,0.0,0.0,12.737477263237247,0,10.0,0.2263147637975567,0,10.0
290.0,2,6.0,0.10714285714285714,12.502241302548248,1,14.0,0.1128725991521879,1,14.0
295.0,4,18.0,0.32727272727272727,12.367256732095987,4,31.0,0.00019810302169197012,4,31.0
300.0,4,18.0,0.3157894736842105,11.789743471452379,1,31.0,0.04902057737111153,1,31.0
305.0,0,0.0,0.0,13.841789352655784,0,14.0,0.29727925487195717,0,14.0
310.0,2,5.0,0.08928571428571429,12.365085835316336,2,45.0,0.09790443000502361,2,45.0
315.0,6,28.0,0.49122807017543857,12.094683604367274,5,72.0,0.0002365499822617868,5,72.0
320.0,8,63.0,1.105263157894737,11.232005316421542,5,97.0,0.16464849865547146,5,97.0
325.0,6,46.0,0.8070175438596491,11.136092243736606,1,78.0,0.1027872012830406,1,78.0
330.0,3,9.0,0.15789473684210525,12.125777830728588,0,32.0,0.42153862900794975,0,32.0
335.0,2,2.0,0.034482758620689655,12.395496790270618,1,44.0,0.1980221959981394,1,44.0
340.0,5,18.0,0.3157894736842105,12.235312892354132,4,70.0,0.00030993189925714005,4,70.0
345.0,8,50.0,0.8620689655172413,12.212819730247112,4,90.0,0.19589638158459532,4,90.0
350.0,8,53.0,0.8983050847457628,10.859516359990332,1,73.0,0.06067187430915201,1,73.0
355.0,6,30.0,0.5084745762711864,11.230707126194755,2,58.0,0.15230055013372476,2,58.0
360.0,2,4.0,0.06451612903225806,11.306074282153293,2,79.0,0.07119982632832927,2,79.0
365.0,4,19.0,0.3114754098360656,10.14451090182392,4,91.0,0.08060118887356531,4,91.0
370.0,6,21.0,0.35,9.690497448817466,2,75.0,0.14088619680972608,2,75.0
375.0,5,21.0,0.35,10.5281216072438,3,75.0,0.13261742317860895,3,75.0
380.0,4,32.0,0.5161290322580645,10.91967364527744,4,46.0,0.06470780766039051,4,46.0
385.0,6,57.0,0.8769230769230769,12.704226418802014,4,58.0,0.07649626258152015,4,58.0
390.0,5,82.0,1.3015873015873016,11.224951163520105,4,74.0,0.12908310769042539,4,74.0
395.0,7,111.0,1.7619047619047619,11.703657867149484,4,92.0,0.17143595247730015,4,92.0
400.0,4,53.0,0.828125,12.11108386781384,2,78.0,0.04291015523828972,2,78.0
405.0,2,11.0,0.18032786885245902,12.215250726987165,2,55.0,0.11313166343499184,2,55.0
410.0,0,0.0,0.0,10.192829319741039,0,40.0,0.10934676736455881,0,40.0
415.0,3,10.0,0.1724137931034483,10.605996036745957,3,42.0,0.1664961109915196,3,42.0
420.0,2,5.0,0.08620689655172414,11.387679452896077,2,28.0,0.04799535823906867,2,28.0
425.0,1,6.0,0.10714285714285714,12.051635013099972,1,10.0,0.21208311966256285,1,10.0
430.0,1,11.0,0.2,11.184966892464864,1,11.0,0.1422645933013395,1,11.0
435.0,1,3.0,0.05555555555555555,11.808851756672388,1,3.0,0.2982892771560965,1,3.0
440.0,2,10.0,0.18867924528301888,11.904241691447666,2,10.0,0.19136530759869344,2,10.0
445.0,1,0.0,0.0,12.455079290370188,0,6.0,0.24854316852282932,0,6.0
450.0,3,5.0,0.09803921568627451,12.30141970892806,2,5.0,0.06633380633872978,2,5.0
455.0,0,0.0,0.0,10.55237312309211,0,1.0,0.06958696116196145,0,1.0
460.0,1,5.0,0.1,11.016547400554154,0,1.0,0.36327476408139925,0,1.0
465.0,4,17.0,0.3541666666666667,11.837213776097215,2,6.0,0.18480512682887226,2,6.0
470.0,7,47.0,1.0,10.768421662439154,4,22.0,0.15130240324162797,4,22.0
475.0,0,0.0,0.0,11.422350438137812,0,33.0,0.19223569371469504,0,33.0
480.0,1,0.0,0.0,11.961582331289453,0,4.0,0.4925773086158822,0,4.0
485.0,2,3.0,0.061224489795918366,11.960454851888624,1,6.0,0.29936437680163214,1,6.0
490.0,3,13.0,0.25,12.378530456567349,3,17.0,0.04273213350909667,3,17.0
495.0,0,0.0,0.0,12.759014858134238,0,12.0,0.09948696605429322,0,12.0
500.0,2,4.0,0.07547169811320754,11.79821373901644,1,4.0,0.14238339575240458,1,4.0
505.0,1,1.0,0.01818181818181818,11.838847261693493,1,4.0,0.04069300815084871,1,4.0
510.0,4,16.0,0.2909090909090909,11.502796419352533,4,17.0,0.10763135257288024,4,17.0
515.0,1,4.0,0.07407407407407407,10.108660162298989,1,19.0,0.11605118728286556,1,19.0
520.0,0,0.0,0.0,11.462644344572047,0,15.0,0.3038281922762248,0,15.0
525.0,2,1.0,0.017857142857142856,11.525303756335472,1,12.0,0.28097675061481536,1,12.0
530.0,4,10.0,0.17543859649122806,11.770230519596891,3,23.0,0.09117164630359302,3,23.0
535.0,0,0.0,0.0,11.897295956876965,0,11.0,0.13855925178618553,0,11.0
540.0,1,3.0,0.05454545454545454,12.619162108526364,1,3.0,0.31445874351558517,1,3.0
545.0,2,3.0,0.057692307692307696,12.53352842770244,1,5.0,0.09394982379040653,1,5.0
550.0,3,10.0,0.18518518518518517,10.388060480099794,2,12.0,0.14210737348203298,2,12.0
555.0,0,0.0,0.0,10.926762463772956,0,10.0,0.07077257516007818,0,10.0
560.0,2,3.0,0.05555555555555555,11.263886698148045,1,3.0,0.1358063197201886,1,3.0
565.0,1,3.0,0.05263157894736842,12.381416598708878,0,1.0,0.22982567794255104,0,1.0
570.0,0,0.0,0.0,13.767512318323629,0,0.0,1.0,0,0.0
575.0,0,0.0,0.0,13.628520925824523,0,0.0,1.0,0,0.0
580.0,0,0.0,0.0,12.206365828619775,0,0.0,0.9069419102000446,0,0.0
585.0,0,0.0,0.0,12.69106214570429,0,0.0,1.0,0,0.0
590.0,2,2.0,0.03571428571428571,12.194672051395278,1,1.0,0.024586918844932696,1,1.0
595.0,0,0.0,0.0,12.768105588712753,0,0.0,1.0,0,0.0
600.0,0,0.0,0.0,12.42371516577892,0,0.0,0.4816848323007339,0,0.0
605.0,2,3.0,0.06382978723404255,11.344269842836116,0,0.0,0.21261293632093578,0,0.0
610.0,3,16.0,0.3333333333333333,11.769632309635853,1,7.0,0.09259497993487646,1,7.0
615.0,3,26.0,0.52,12.045255009155916,1,10.0,0.1387441509093943,1,10.0
620.0,6,46.0,0.8846153846153846,11.744699095436344,3,13.0,0.1393360313911445,3,13.0
625.0,3,44.0,0.8627450980392157,12.169863042190741,1,17.0,0.06450698543954253,1,17.0
630.0,4,63.0,1.2115384615384615,11.24266345174623,2,14.0,0.10103187557962659,2,14.0
635.0,3,65.0,1.2037037037037037,11.72387292664871,1,13.0,0.21396282777348338,1,13.0
640.0,5,81.0,1.5,13.255228805415175,2,8.0,0.0012742738996195306,2,8.0
645.0,2,83.0,1.456140350877193,13.327490427753728,0,4.0,0.3006524595298221,0,4.0
650.0,4,97.0,1.6166666666666667,11.660913315273655,2,6.0,0.01516251599372632,2,6.0
655.0,2,103.0,1.6885245901639345,12.18474490072897,0,7.0,0.09436251203388252,0,7.0
660.0,3,117.0,1.9180327868852458,11.849982373941355,0,0.0,0.3124463255608596,0,0.0
665.0,5,136.0,2.2666666666666666,11.003851266946056,2,4.0,0.03746141778363822,2,4.0
670.0,8,165.0,2.75,10.594902409465014,3,18.0,0.006889740598269105,3,18.0
675.0,3,144.0,2.440677966101695,10.592228660236954,0,10.0,0.08845980770052311,0,10.0
680.0,3,157.0,2.6610169491525424,12.090129519285997,0,0.0,0.2502641616103808,0,0.0
685.0,2,163.0,2.76271186440678,12.383808060210836,0,0.0,1.0,0,0.0
690.0,2,173.0,3.0350877192982457,12.01699364629993,0,1.0,0.16543959286646076,0,1.0
695.0,3,183.0,3.452830188679245,10.860730180014697,0,0.0,0.3029102734511095,0,0.0
700.0,4,196.0,3.69811320754717,10.160647610190846,1,2.0,0.2725031030568431,1,2.0
705.0,3,209.0,3.943396226415094,11.510176227261507,0,0.0,0.4051698786497178,0,0.0
710.0,5,228.0,4.222222222222222,11.799770665807806,2,4.0,0.0007795849243819326,2,4.0
715.0,3,239.0,4.596153846153846,10.923163437985268,0,4.0,0.0474822843655598,0,4.0
720.0,4,238.0,4.407407407407407,11.261894742538393,1,6.0,0.15194776658526105,1,6.0
725.0,3,245.0,4.298245614035087,11.937633880126754,0,15.0,0.31722538368854575,0,15.0
730.0,6,260.0,4.56140350877193,12.414932117615491,4,22.0,0.22888887684021145,4,22.0
