step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,12.86758171956629,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,15.05518379263619,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.602046158706939,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,11.465738905729022,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,13.453605106691452,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,16.19028216904808,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,16.6299170514328,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,15.798893113214861,0,0.0,0.286756977188788,0,0.0
45.0,1,3.0,0.13043478260869565,14.577578246466302,1,3.0,0.23527883100704666,1,3.0
50.0,1,8.0,0.2962962962962963,14.505259280477935,1,8.0,0.053265468858278354,1,8.0
55.0,4,21.0,0.7241379310344828,13.852040887853942,3,21.0,4.581672623949507e-06,3,21.0
60.0,0,0.0,0.0,13.77443830469019,0,7.0,0.14343196225465682,0,7.0
65.0,0,0.0,0.0,13.222082956591093,0,0.0,0.7174475152564828,0,0.0
70.0,0,0.0,0.0,12.155967521330249,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,12.472283486727392,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,14.222037982435296,0,0.0,1.0,0,0.0
85.0,0,0.0,0.0,12.73615318410119,0,0.0,0.37493450600709394,0,0.0
90.0,1,3.0,0.08108108108108109,12.36046696770447,1,5.0,0.3175721144414875,1,5.0
95.0,1,1.0,0.02631578947368421,11.961432964529184,1,3.0,0.0025300508450170917,1,3.0
100.0,2,7.0,0.1794871794871795,12.023612438658473,2,9.0,0.0022753596248502495,2,9.0
105.0,0,0.0,0.0,11.828655937654636,0,4.0,0.11489673446855274,0,4.0
110.0,0,0.0,0.0,11.580441621218169,0,0.0,0.5098411041023772,0,0.0
115.0,2,4.0,0.08695652173913043,10.401276167930067,1,2.0,0.4070512965509904,1,2.0
120.0,2,9.0,0.2,11.099585846482116,2,9.0,0.13669401107737553,2,9.0
125.0,3,19.0,0.41304347826086957,12.011406576462718,2,19.0,0.1534696751294618,2,19.0
130.0,3,32.0,0.6666666666666666,10.911213574044366,3,32.0,0.05599154665040737,3,32.0
135.0,7,59.0,1.2040816326530612,10.160804615816188,6,57.0,0.11142867905371152,6,57.0
140.0,8,94.0,1.8076923076923077,10.49542357439096,6,87.0,0.0,6,87.0
145.0,5,34.0,0.6538461538461539,10.888832442932934,1,70.0,0.17885731308695926,1,70.0
150.0,1,2.0,0.037037037037037035,11.718155413147826,1,33.0,0.232173825587713,1,33.0
155.0,3,11.0,0.2,11.505620857198434,2,26.0,0.15257624119033603,2,26.0
160.0,4,29.0,0.5087719298245614,11.247039048235337,3,28.0,0.0734299471877206,3,28.0
165.0,6,43.0,0.7543859649122807,10.948962543887955,4,46.0,0.11054066628166842,4,46.0
170.0,7,70.0,1.206896551724138,11.29776974768421,4,66.0,0.0917142891613648,4,66.0
175.0,3,33.0,0.5892857142857143,10.423515336134633,1,52.0,0.19960048031827504,1,52.0
180.0,2,4.0,0.06896551724137931,11.358560469874911,2,31.0,0.0929940150269835,2,31.0
185.0,2,14.0,0.22950819672131148,10.357908379030544,2,27.0,0.12633957587495087,2,27.0
190.0,2,24.0,0.3870967741935484,10.357553846229955,2,24.0,0.1385855747574086,2,24.0
195.0,3,38.0,0.59375,11.39063466507124,3,40.0,0.09716191524970313,3,40.0
200.0,2,6.0,0.09230769230769231,11.665481729854847,2,35.0,0.03647085738154995,2,35.0
205.0,4,24.0,0.36363636363636365,12.070246713976696,4,26.0,0.10001665313711328,4,26.0
210.0,2,11.0,0.1746031746031746,11.706608066975447,2,31.0,0.054972205700066404,2,31.0
215.0,4,15.0,0.23076923076923078,11.743392994058182,3,23.0,0.1197553288138945,3,23.0
220.0,6,40.0,0.6153846153846154,11.358379530964232,5,36.0,0.00023991227308405909,5,36.0
225.0,6,70.0,1.0769230769230769,11.592891395580521,5,62.0,0.07223818155283614,5,62.0
230.0,4,20.0,0.31746031746031744,11.454479631369667,2,53.0,0.06654550688978815,2,53.0
235.0,3,13.0,0.20967741935483872,12.600373811605262,2,38.0,0.15940812631622076,2,38.0
240.0,3,5.0,0.08064516129032258,11.003152438601543,2,35.0,0.044242615719526125,2,35.0
245.0,5,27.0,0.45,11.660996087333706,5,47.0,0.024496974907424193,5,47.0
250.0,4,9.0,0.15254237288135594,11.446737367190515,2,32.0,0.07051655737136814,2,32.0
255.0,5,28.0,0.45901639344262296,11.826876834584377,1,10.0,0.266736814680989,1,10.0
260.0,4,21.0,0.35,12.145878488239653,2,13.0,0.07522401080605629,2,13.0
265.0,4,22.0,0.36065573770491804,11.939009062500897,1,8.0,0.13332166609806675,1,8.0
270.0,8,40.0,0.625,12.699034522259181,5,23.0,0.015083691500573397,5,23.0
275.0,2,6.0,0.09836065573770492,12.102314479418489,1,27.0,0.08730479538987043,1,27.0
280.0,2,1.0,0.01639344262295082,12.097649028237559,0,7.0,0.22126647084040718,0,7.0
285.0,0,0.0,0.0,12.347231897218348,0,1.0,0.3372466402046468,0,1.0
290.0,0,0.0,0.0,12.288491054660904,0,10.0,0.569692657846405,0,10.0
295.0,1,2.0,0.03508771929824561,14.210606157619555,0,19.0,0.9114826672702925,0,19.0
300.0,0,0.0,0.0,13.703313593721665,0,0.0,0.7015088890516344,0,0.0
305.0,1,1.0,0.017241379310344827,13.28345634537574,1,1.0,0.003141077258618085,1,1.0
310.0,2,7.0,0.11475409836065574,12.789428488910257,2,7.0,0.14602509944135447,2,7.0
315.0,6,27.0,0.4576271186440678,11.226507454584796,5,27.0,0.000162219090244187,5,27.0
320.0,1,6.0,0.10344827586206896,12.624624569494056,1,26.0,0.1039683132625471,1,26.0
325.0,0,0.0,0.0,13.056716666200037,0,8.0,0.45433880517716047,0,8.0
330.0,1,2.0,0.03389830508474576,15.194744623996353,1,4.0,0.1279621813285952,1,4.0
335.0,1,0.0,0.0,14.486523731603269,0,4.0,0.1590863628992491,0,4.0
340.0,0,0.0,0.0,13.07906430835545,0,16.0,0.28549277324839617,0,16.0
345.0,1,1.0,0.017543859649122806,12.199906386395154,1,1.0,0.15541719383410577,1,1.0
350.0,4,15.0,0.26785714285714285,10.539353445087455,4,19.0,0.035891824152170286,4,19.0
355.0,3,11.0,0.19642857142857142,10.861086806814379,2,27.0,0.03999116041563685,2,27.0
360.0,2,12.0,0.21052631578947367,11.83485958124908,2,30.0,0.101183338354441,2,30.0
365.0,2,3.0,0.05172413793103448,10.600053871254566,2,27.0,0.05614300512704695,2,27.0
370.0,5,20.0,0.3389830508474576,11.331649792867143,4,35.0,0.0005244013519271749,4,35.0
375.0,3,15.0,0.25862068965517243,12.230512942378606,1,33.0,0.20547110691192305,1,33.0
380.0,1,2.0,0.03333333333333333,11.255828807162125,1,16.0,0.13405521926976788,1,16.0
385.0,2,1.0,0.01694915254237288,11.537245596437455,1,24.0,0.06974182541139042,1,24.0
390.0,3,14.0,0.23728813559322035,11.70204483889307,3,34.0,0.14116368520012443,3,34.0
395.0,2,5.0,0.08333333333333333,12.538959937378642,1,33.0,0.13328062597375537,1,33.0
400.0,4,11.0,0.18333333333333332,12.312723966773683,4,18.0,0.10413164951833605,4,18.0
405.0,1,4.0,0.07017543859649122,11.349656105670215,1,21.0,0.11495193599354893,1,21.0
410.0,6,25.0,0.44642857142857145,11.567990063813047,4,31.0,0.21801286532924016,4,31.0
415.0,3,21.0,0.375,11.87532372935531,2,33.0,0.12039558670860066,2,33.0
420.0,4,18.0,0.33962264150943394,11.176608968592458,3,30.0,0.08716305169419261,3,30.0
425.0,1,1.0,0.019230769230769232,11.06076825597956,1,16.0,0.07090296336269519,1,16.0
430.0,4,14.0,0.2692307692307692,10.780610774894392,4,21.0,0.0008627569620309073,4,21.0
435.0,2,7.0,0.1346153846153846,11.993966319525533,1,20.0,0.06918644449786003,1,20.0
440.0,2,6.0,0.11764705882352941,12.882562840696002,1,10.0,0.13863810034254279,1,10.0
445.0,3,16.0,0.3137254901960784,11.298316052032192,1,7.0,0.13413171957000317,1,7.0
450.0,1,0.0,0.0,11.378735864566126,0,4.0,0.3929432296664712,0,4.0
455.0,1,1.0,0.02,11.439790953429588,0,0.0,1.0,0,0.0
460.0,2,8.0,0.16326530612244897,12.261918294899925,0,0.0,0.5620524155671085,0,0.0
465.0,1,2.0,0.04,11.874536982268955,1,2.0,0.002140243252833634,1,2.0
470.0,1,7.0,0.14583333333333334,11.76489701507546,1,7.0,0.08129797178031864,1,7.0
475.0,1,3.0,0.0625,12.088371406089179,0,2.0,0.2673092365907554,0,2.0
480.0,4,5.0,0.10638297872340426,11.946629085765817,3,6.0,0.04849034041507775,3,6.0
485.0,1,2.0,0.04081632653061224,12.297399891098692,1,17.0,0.14166997290681355,1,17.0
490.0,2,12.0,0.24,12.982699750164732,2,28.0,0.16627488150264638,2,28.0
495.0,2,22.0,0.4230769230769231,12.488992193218174,2,32.0,0.2821679723052269,2,32.0
500.0,3,6.0,0.11538461538461539,12.710777030004884,1,27.0,0.043352974207846555,1,27.0
