step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,7688405358_stopped,7688405358_accumulated_waiting_time,7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,6.320333907581942,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,7.879139709059159,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.159134137202336,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,14.811708404229824,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,11.318788795888064,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,13.462226824200991,0,0.0,1.0,0,0.0
35.0,1,0.0,0.0,14.867805213102834,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,12.924261731109022,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,12.834722921555972,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,13.480075100870614,0,0.0,1.0,0,0.0
55.0,1,0.0,0.0,12.800860409415197,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,13.454877149597436,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,13.233473271184549,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,14.051973872581994,0,0.0,1.0,0,0.0
75.0,2,3.0,0.057692307692307696,11.725660410932905,0,0.0,1.0,0,0.0
80.0,1,0.0,0.0,13.15332815499225,0,0.0,1.0,0,0.0
85.0,1,0.0,0.0,14.280618488227908,0,0.0,0.4749601563342055,0,0.0
90.0,2,2.0,0.031746031746031744,14.102655613045005,1,2.0,0.00028991834135912533,1,2.0
95.0,2,7.0,0.1076923076923077,13.662410026377813,1,7.0,0.0,1,7.0
100.0,1,12.0,0.17647058823529413,14.71007455260381,1,12.0,0.47051109081088194,1,12.0
105.0,1,17.0,0.23943661971830985,14.463719234694082,1,18.0,0.5066676695943368,1,18.0
110.0,4,30.0,0.4166666666666667,13.096974114135783,2,26.0,0.24883726192279002,2,26.0
115.0,4,46.0,0.6301369863013698,12.501786222354912,3,36.0,1.303977969948048e-05,3,36.0
120.0,0,0.0,0.0,12.064809886712126,0,5.0,0.22430129199361826,0,5.0
125.0,3,8.0,0.10256410256410256,12.60678702352872,3,8.0,0.013274080605488299,3,8.0
130.0,2,5.0,0.06172839506172839,13.358724667364317,1,17.0,0.12330197796242642,1,17.0
135.0,1,0.0,0.0,13.153118508376615,0,17.0,0.1965669751486658,0,17.0
140.0,1,5.0,0.05813953488372093,14.196953614234957,1,5.0,0.3281406972999892,1,5.0
145.0,2,10.0,0.11627906976744186,14.305005729038953,1,10.0,0.26916619997744734,1,10.0
150.0,1,15.0,0.16483516483516483,13.865305977832763,1,15.0,0.4086393215979231,1,15.0
155.0,1,20.0,0.21978021978021978,14.228516052452875,1,20.0,0.0,1,20.0
160.0,2,26.0,0.2857142857142857,13.549821922493946,1,25.0,0.4918431787198816,1,25.0
165.0,3,35.0,0.3804347826086957,14.098344472797798,3,35.0,0.08010471214777899,3,35.0
170.0,1,0.0,0.0,13.176959311459662,0,7.0,0.08949572651831979,0,7.0
175.0,1,3.0,0.031914893617021274,13.266416920539355,1,3.0,0.3432935324318453,1,3.0
180.0,4,5.0,0.05154639175257732,13.389854890078837,3,5.0,0.14029618356908996,3,5.0
185.0,5,27.0,0.2755102040816326,13.277305927159782,5,28.0,0.12493887148318639,5,28.0
190.0,1,2.0,0.020833333333333332,13.630531171078125,1,18.0,0.056499674775143095,1,18.0
195.0,2,11.0,0.1134020618556701,14.170281974668374,2,12.0,0.25562974595985366,2,12.0
200.0,2,1.0,0.010638297872340425,13.782135427214419,0,7.0,0.22121036958245885,0,7.0
205.0,4,10.0,0.10416666666666667,13.917488547946533,1,6.0,0.2832006903138937,1,6.0
210.0,5,26.0,0.2765957446808511,13.227400646889064,1,10.0,0.0,1,10.0
215.0,3,27.0,0.28421052631578947,13.411387077739027,1,15.0,0.49736995435891507,1,15.0
220.0,3,24.0,0.2553191489361702,13.861200521615874,1,21.0,0.29590487014847666,1,21.0
225.0,3,28.0,0.28865979381443296,13.217772090173113,2,28.0,0.14951199869576873,2,28.0
230.0,5,47.0,0.5,13.410455513365106,3,53.0,0.2020673908361537,3,53.0
235.0,1,5.0,0.052083333333333336,12.693826987185654,0,19.0,0.2011014997264276,0,19.0
240.0,4,20.0,0.20833333333333334,13.77076285370516,3,20.0,0.001598261598617354,3,20.0
245.0,2,15.0,0.15463917525773196,13.963356148525996,0,9.0,0.2678227188488908,0,9.0
250.0,3,28.0,0.2916666666666667,14.324708805008214,1,4.0,0.11013518678915751,1,4.0
255.0,2,9.0,0.09183673469387756,13.578169256948339,1,9.0,0.0,1,9.0
260.0,4,22.0,0.23157894736842105,13.424902230512348,2,16.0,0.13328460886939333,2,16.0
265.0,3,20.0,0.21052631578947367,13.425688525581577,0,1.0,0.32137185843805444,0,1.0
270.0,5,32.0,0.34408602150537637,13.1560121950328,3,9.0,0.1409874762436975,3,9.0
275.0,2,19.0,0.21348314606741572,13.932420998971308,0,9.0,0.22388733367584482,0,9.0
280.0,5,37.0,0.4111111111111111,12.599015121256853,1,3.0,0.17202603187705753,1,3.0
285.0,8,69.0,0.7666666666666667,12.923703606816684,1,29.0,0.37854914063664613,1,29.0
290.0,6,59.0,0.6555555555555556,13.605931742998479,2,35.0,0.00034389250285510634,2,35.0
295.0,0,0.0,0.0,14.538338107042803,0,0.0,0.35650817803856416,0,0.0
300.0,4,9.0,0.10227272727272728,13.64298230104663,2,6.0,0.26648244193722564,2,6.0
305.0,3,4.0,0.04395604395604396,13.072324243573986,2,11.0,0.032758348559064114,2,11.0
310.0,4,14.0,0.15053763440860216,13.113449814491604,2,13.0,0.0,2,13.0
315.0,4,29.0,0.3118279569892473,13.626593706408395,2,23.0,0.14296559433098754,2,23.0
320.0,3,44.0,0.4888888888888889,12.924942050761246,2,33.0,0.0019423787615700666,2,33.0
325.0,2,19.0,0.20430107526881722,13.190907340026262,0,13.0,0.17122164353181318,0,13.0
330.0,1,21.0,0.22580645161290322,14.18372179497775,0,0.0,0.6138784759151439,0,0.0
335.0,3,28.0,0.29473684210526313,14.259404824376244,0,0.0,1.0,0,0.0
340.0,5,22.0,0.22448979591836735,13.459051794138682,0,0.0,1.0,0,0.0
345.0,8,49.0,0.5051546391752577,12.364801131724802,0,13.0,0.03029534099282111,0,13.0
350.0,9,80.0,0.8247422680412371,11.846913808649873,1,26.0,0.1171980021709693,1,26.0
355.0,9,83.0,0.8556701030927835,11.575681930876064,1,12.0,0.1206484027790012,1,12.0
360.0,5,21.0,0.22105263157894736,11.91411769816939,1,17.0,0.1982279136022337,1,17.0
365.0,1,0.0,0.0,13.140181932899939,0,18.0,0.29813865800888767,0,18.0
370.0,0,0.0,0.0,13.421193419719982,0,0.0,0.4609830262128406,0,0.0
375.0,2,6.0,0.061855670103092786,13.905679379882347,2,6.0,0.353382873240448,2,6.0
380.0,3,17.0,0.1827956989247312,13.781030954722072,2,16.0,0.19257120999144317,2,16.0
385.0,1,2.0,0.02127659574468085,13.957587472116495,1,33.0,0.02383588331730343,1,33.0
390.0,4,19.0,0.2,13.854929052717612,2,94.0,0.0882897729346973,2,94.0
395.0,3,4.0,0.041666666666666664,13.28930340529945,2,98.0,0.06553039977490162,2,98.0
400.0,3,6.0,0.06382978723404255,14.030049216266432,1,56.0,0.16883366250624027,1,56.0
405.0,1,10.0,0.10638297872340426,15.144407829593595,1,37.0,0.2123049336517068,1,37.0
410.0,2,15.0,0.15789473684210525,15.337906044738467,1,24.0,0.38638028493850873,1,24.0
415.0,2,24.0,0.2553191489361702,15.46803151682918,1,21.0,0.19639845625655084,1,21.0
420.0,3,27.0,0.28421052631578947,13.939325085571538,2,27.0,0.21242169225652752,2,27.0
425.0,1,2.0,0.021052631578947368,13.682326960452295,0,9.0,0.3367066909869176,0,9.0
430.0,4,5.0,0.050505050505050504,13.636783744873346,1,29.0,0.17729438027217195,1,29.0
435.0,4,11.0,0.11224489795918367,12.93830318938863,3,36.0,0.09777478865191598,3,36.0
440.0,4,30.0,0.3125,12.512625039826554,2,22.0,0.23436129857063462,2,22.0
445.0,4,24.0,0.25263157894736843,12.739601436569405,2,24.0,0.0,2,24.0
450.0,1,0.0,0.0,12.677750927029042,0,14.0,0.3892879151649394,0,14.0
455.0,1,1.0,0.010416666666666666,12.931244943263309,0,2.0,0.46799600951114945,0,2.0
460.0,5,16.0,0.16494845360824742,12.997731544004203,1,2.0,0.001703805983024783,1,2.0
465.0,2,8.0,0.08421052631578947,13.626868994305397,2,11.0,0.184232327672838,2,11.0
470.0,1,0.0,0.0,13.409220914838416,0,3.0,0.16792601394008216,0,3.0
475.0,1,0.0,0.0,12.727778484268695,0,0.0,1.0,0,0.0
480.0,2,3.0,0.03125,13.900077939097079,1,1.0,0.0,1,1.0
485.0,3,12.0,0.125,13.907305911315552,1,6.0,0.16299963100137008,1,6.0
490.0,1,7.0,0.07446808510638298,14.276010603528187,0,2.0,0.254987735212563,0,2.0
495.0,2,15.0,0.16304347826086957,13.948736515624471,1,3.0,0.29910067187469996,1,3.0
500.0,3,25.0,0.2777777777777778,14.17525836327912,1,8.0,0.3354806526096673,1,8.0
505.0,3,28.0,0.3181818181818182,15.1311897552902,0,0.0,0.7111837541547253,0,0.0
510.0,4,38.0,0.42696629213483145,14.503445529308912,0,0.0,1.0,0,0.0
515.0,4,52.0,0.5777777777777777,13.817747976379835,0,0.0,0.4759429307528382,0,0.0
520.0,2,13.0,0.14772727272727273,13.900973191446456,1,2.0,0.24366677185961413,1,2.0
525.0,3,23.0,0.25842696629213485,13.538522349515931,1,7.0,0.5093241525263873,1,7.0
530.0,0,0.0,0.0,12.880045525438824,0,5.0,0.6834762847360061,0,5.0
535.0,2,1.0,0.01098901098901099,13.174704354700047,1,6.0,0.004267705531836287,1,6.0
540.0,1,0.0,0.0,13.914167365455445,0,0.0,1.0,0,0.0
545.0,0,0.0,0.0,14.550729694486021,0,0.0,1.0,0,0.0
550.0,2,1.0,0.01098901098901099,14.344774676601544,0,0.0,0.9797840134617265,0,0.0
555.0,0,0.0,0.0,13.618813485428626,0,0.0,0.4782789670486364,0,0.0
560.0,3,6.0,0.06741573033707865,12.98095713560928,1,26.0,0.12540287630661107,1,26.0
565.0,2,9.0,0.10465116279069768,13.911171244564754,1,9.0,0.27491978626474073,1,9.0
570.0,1,0.0,0.0,13.573754084866408,0,0.0,0.35354264115443895,0,0.0
575.0,1,0.0,0.0,13.485910969195645,0,0.0,0.4495941480247463,0,0.0
580.0,0,0.0,0.0,13.674601116124597,0,0.0,1.0,0,0.0
585.0,0,0.0,0.0,13.828702605529752,0,0.0,1.0,0,0.0
