step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,15.022856039828254,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.497108221177225,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.779624637145496,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,11.91321216123028,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,13.532801771440742,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,16.36301673220042,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,15.965582302686851,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,15.094763151265667,0,0.0,0.3487266211173554,0,0.0
45.0,1,3.0,0.13043478260869565,13.46251717003746,1,3.0,0.02017181135491405,1,3.0
50.0,2,12.0,0.4444444444444444,13.956811115068726,2,12.0,0.004287634335558393,2,12.0
55.0,4,27.0,0.9310344827586207,13.637162901649406,3,27.0,1.4541739258015896e-06,3,27.0
60.0,3,42.0,1.4482758620689655,13.158551408402344,3,42.0,0.0,3,42.0
65.0,3,57.0,1.9,13.170411982909524,3,57.0,0.0,3,57.0
70.0,3,72.0,2.3225806451612905,11.545591870704977,3,72.0,0.0,3,72.0
75.0,3,87.0,2.6363636363636362,12.395518366277923,3,87.0,0.0,3,87.0
80.0,0,0.0,0.0,13.173164909789485,0,32.0,0.43097105352357373,0,32.0
85.0,1,1.0,0.027777777777777776,11.051990206444456,1,1.0,0.03795700579529684,1,1.0
90.0,1,5.0,0.13513513513513514,12.60808824141556,0,1.0,0.18559249123533772,0,1.0
95.0,0,0.0,0.0,11.337387004366592,0,0.0,0.2642044255783114,0,0.0
100.0,2,6.0,0.15,11.302289208733743,2,6.0,0.00041023923919118174,2,6.0
105.0,3,16.0,0.4,11.60161358780956,2,16.0,0.171239041428612,2,16.0
110.0,4,30.0,0.7142857142857143,11.017674959808792,4,30.0,0.14138475892548336,4,30.0
