step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.363931209294119,0,0.0,1.0,0,0.0,1.0,0,0.0,0.24410210251397832,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.37072845398638,0,0.0,1.0,0,0.0,1.0,0,0.0,0.603752633731342,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,14.69526499987877,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3242110283964487,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,3.0,0.08333333333333333,16.864596447583068,0,0.0,1.0,0,0.0,1.0,1,3.0,0.36027593913510897,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,3.0
25.0,1,8.0,0.18181818181818182,17.190807723540452,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,0.4830455720560404,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0
30.0,2,14.0,0.2692307692307692,19.14852838011005,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,0.41461610475842287,1,1.0,0.003067240316866487,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,14.0
35.0,3,27.0,0.4576271186440678,19.260874457477588,0,0.0,1.0,0,0.0,0.08098361415213463,1,18.0,0.0,1,3.0,0.0001793421451861381,1,6.0,0.3105074293415455,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,27.0
40.0,6,50.0,0.78125,18.173954728993632,0,0.0,1.0,0,0.0,0.562613775956174,1,23.0,0.0,1,8.0,0.0,4,19.0,0.126023381494374,0,0.0,0.9982967684825064,0,0.0,1.0,0,0.0,1.0,6,50.0
45.0,9,76.0,1.027027027027027,17.349521952739238,0,0.0,1.0,0,0.0,0.9445692537236895,1,28.0,0.0,1,13.0,0.08230822255613834,5,35.0,0.0003416883730160704,0,0.0,0.9812327786121742,1,0.0,0.0,0,0.0,1.0,8,76.0
