step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.847235090260414,0,0.0,1.0,0,0.0,1.0,0,0.0,0.26547777771232206,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.59559698044817,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5817375354651448,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,14.72906340065797,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2580841971883015,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,4.0,0.1111111111111111,16.574398009894477,0,0.0,1.0,0,0.0,1.0,1,4.0,0.28796949659342425,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,1,9.0,0.20454545454545456,16.27765103463484,0,0.0,1.0,0,0.0,1.0,1,9.0,0.016475003305979355,0,0.0,1.0,0,0.0,0.5582246193778219,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0
30.0,0,0.0,0.0,17.450678326680112,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.38588768317477434,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,19.138918629396436,0,0.0,1.0,0,0.0,0.0485181237874113,0,0.0,1.0,0,0.0,1.0,0,0.0,0.01037818749378485,0,0.0,0.9987636357281637,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,5.0,0.07936507936507936,19.692081297959103,0,0.0,1.0,0,0.0,0.31361581934460886,0,0.0,1.0,0,0.0,1.0,1,5.0,0.31234236856231673,0,0.0,0.9895806831384983,0,0.0,1.0,0,0.0,1.0,1,5.0
45.0,3,10.0,0.136986301369863,18.52061828538749,0,0.0,1.0,0,0.0,0.5637673077222274,0,0.0,1.0,0,0.0,0.20661631349896212,1,10.0,0.1832665985357937,0,0.0,0.6478684610840605,1,0.0,0.0,0,0.0,1.0,2,10.0
50.0,4,22.0,0.275,19.265318788113643,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,22.0,0.0030346581940487297,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,22.0
55.0,7,41.0,0.47126436781609193,19.395850025283156,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,4,41.0,0.04469515054232252,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,41.0
60.0,8,63.0,0.6631578947368421,18.022416472934374,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29589048791945416,0,0.0,1.0,5,63.0,0.00016828027340746925,0,0.0,1.0,0,0.0,0.1988716188189581,0,0.0,1.0,5,63.0
65.0,3,21.0,0.19811320754716982,18.01871480961308,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6168946587456946,0,0.0,0.8557034458333126,2,55.0,0.04494780867950171,0,0.0,0.8703569887506896,0,0.0,0.4803466957594732,0,0.0,0.2536926830163564,2,55.0
70.0,3,14.0,0.12173913043478261,18.230456435457423,0,0.0,0.9678722336023389,0,0.0,0.7741051221883168,0,0.0,1.0,0,0.0,0.2888842419588047,1,26.0,0.1729176845487298,0,0.0,0.5427108231022478,0,0.0,1.0,0,2.0,0.5757446688425308,1,28.0
75.0,6,29.0,0.23577235772357724,18.34474806418571,0,0.0,1.0,0,0.0,0.9738232810893644,0,0.0,1.0,1,5.0,0.08207463154348567,1,17.0,0.3535543183388965,0,0.0,0.5423637483614215,0,1.0,0.5266968107808278,0,0.0,0.07998199700186714,2,23.0
80.0,9,41.0,0.3106060606060606,18.45057800569341,0,0.0,1.0,0,0.0,0.12852004166700137,0,0.0,0.26106049725667624,3,12.0,0.1881182658536229,3,27.0,0.0005661810891743375,1,3.0,0.14123290357448845,0,1.0,0.26870270145987835,0,0.0,1.0,7,43.0
85.0,9,40.0,0.28776978417266186,18.503009337785343,0,0.0,1.0,0,0.0,0.9905464941553721,0,0.0,0.8783518461525445,4,28.0,0.0014708533789671416,1,13.0,0.2613825593991645,0,0.0,0.911523699122661,0,0.0,0.09191121263499875,0,0.0,1.0,5,41.0
90.0,7,60.0,0.40540540540540543,18.75818714439584,0,0.0,0.970704485852173,0,0.0,1.0,0,0.0,0.28354493961862925,4,48.0,0.1481142136021464,1,13.0,0.34231772722600495,0,0.0,0.9784977809883321,0,0.0,0.5235321241741445,0,0.0,0.4334753055686736,5,61.0
95.0,11,96.0,0.6153846153846154,18.534293529507956,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,68.0,0.14234644169443336,4,27.0,0.003703877720826588,0,0.0,0.8507428428572,0,0.0,0.33494941910707415,1,2.0,0.0005255464380223929,9,97.0
