step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.034165291521155,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2911109220732202,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,17.377162844233272,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6792171413123975,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,15.04452641607468,0,0.0,1.0,0,0.0,1.0,0,0.0,0.19819046737775722,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,4.0,0.1111111111111111,17.091261163278375,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3004170631377788,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,0,0.0,0.0,17.1393907780861,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5596489186301475,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,19.094590503330792,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.050528216377611235,0,0.0,0.004126340507399465,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,2,8.0,0.13559322033898305,18.68891644705662,0,0.0,1.0,0,0.0,0.08417937912318475,0,0.0,1.0,1,3.0,7.84992541961268e-05,1,5.0,0.21559438518804178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,8.0
40.0,4,24.0,0.375,18.71827252722324,0,0.0,1.0,0,0.0,0.4196388687658044,0,0.0,1.0,1,8.0,0.0,3,16.0,0.0015642254944618797,0,0.0,0.9738493225367844,0,0.0,1.0,0,0.0,1.0,4,24.0
45.0,7,48.0,0.6486486486486487,18.110661577654213,0,0.0,1.0,0,0.0,0.6761093278184098,0,0.0,1.0,1,13.0,0.06739582054184254,4,35.0,0.0013232765045449848,0,0.0,0.9943039387197767,1,0.0,0.0,0,0.0,1.0,6,48.0
50.0,7,78.0,0.9629629629629629,18.300687358852386,0,0.0,1.0,0,0.0,0.012258054284629474,0,0.0,1.0,1,18.0,0.011054006326683715,5,60.0,0.09749389071472654,0,0.0,0.8395327824592296,0,0.0,1.0,0,0.0,1.0,6,78.0
55.0,9,113.0,1.2988505747126438,18.51325342019929,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,2,27.0,5.4388812771720696e-05,6,86.0,0.04507602997997782,0,0.0,0.04750650631741956,0,0.0,1.0,0,0.0,1.0,9,113.0
60.0,12,159.0,1.65625,16.98113555553373,0,0.0,1.0,0,0.0,1.0,0,0.0,0.37554802559238015,2,37.0,0.0,7,117.0,0.0034276632194308668,1,5.0,0.0,0,0.0,0.2081063088234668,0,0.0,0.936922493455308,10,159.0
65.0,14,210.0,1.9444444444444444,16.38605163302127,0,0.0,0.9386142306154553,0,0.0,1.0,0,0.0,0.6209117632396719,2,47.0,0.4856715096617039,8,157.0,7.714866305847995e-07,0,0.0,0.872426049378586,2,6.0,0.11492859105466378,0,0.0,0.10146955139117797,12,210.0
70.0,13,262.0,2.2393162393162394,16.075075249581754,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,57.0,0.1552190593848267,8,197.0,0.02881601581525166,0,0.0,0.5585946959202506,0,0.0,1.0,2,8.0,0.0,12,262.0
75.0,15,324.0,2.592,17.632514026700907,0,0.0,1.0,0,0.0,0.8454448659609612,0,0.0,1.0,3,69.0,0.00021677234597950506,8,237.0,0.052741841761543576,0,0.0,0.42928923489695014,0,0.0,1.0,2,22.0,0.3274024174333671,13,328.0
