step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.283119195919568,0,0.0,1.0,0,0.0,1.0,0,0.0,0.28111285872894076,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.840591198856263,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6635346577486102,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,14.583234164033634,0,0.0,1.0,0,0.0,1.0,0,0.0,0.287435775290267,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,4.0,0.1111111111111111,16.66920339805875,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3880013789923671,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,0,0.0,0.0,16.15699061363246,0,0.0,1.0,0,0.0,1.0,0,0.0,0.06334065931732992,0,0.0,0.3994108160800372,0,0.0,0.5432099054648425,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,3,7.0,0.1346153846153846,18.000395762454175,0,0.0,1.0,0,0.0,1.0,1,4.0,1.078116734157949e-05,1,2.0,1.0849995965661056e-05,1,1.0,0.22660132976609224,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,7.0
35.0,3,22.0,0.3728813559322034,18.81160945185037,0,0.0,1.0,0,0.0,0.048882821924641086,1,9.0,0.0,1,7.0,0.0,1,6.0,0.2367965025394586,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,22.0
40.0,4,29.0,0.453125,18.847406078497023,0,0.0,1.0,0,0.0,0.39632954360744405,0,0.0,1.0,1,12.0,0.0,3,17.0,0.0005257893492827732,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,29.0
45.0,6,49.0,0.6621621621621622,18.272231103374207,0,0.0,1.0,0,0.0,0.7024002168040503,0,0.0,1.0,1,17.0,0.10457988306692781,3,32.0,0.19620472584116663,0,0.0,0.9844485269119233,1,0.0,0.0,0,0.0,1.0,5,49.0
